clinician_id,signup_date,specialty,state,ehr_system,practice_size,org_type,annual_patient_volume,converted_to_enterprise,conversion_date
CLN_00001,2024-04-14,Neurology,MI,Other,Small (2-10),Telehealth-Native,776,0,
CLN_00002,2024-12-25,Primary Care,SC,eClinicalWorks,Solo,Academic Medical Center,325,0,
CLN_00003,2024-09-23,Psychiatry,NJ,DrChrono,Solo,Urgent Care Chain,326,0,
CLN_00004,2023-12-18,Psychiatry,WA,Epic,Medium (11-50),Academic Medical Center,3628,0,
CLN_00005,2024-04-29,Orthopedics,MI,Athenahealth,Large (51-200),Hospital System,34199,0,
CLN_00006,2024-12-31,Neurology,CA,Other,Large (51-200),Hospital System,22339,0,
CLN_00007,2025-07-21,Internal Medicine,SC,None,Small (2-10),Academic Medical Center,1630,0,
CLN_00008,2025-01-15,Primary Care,MN,eClinicalWorks,Small (2-10),Private Practice,1934,0,
CLN_00009,2025-03-24,Dermatology,GA,DrChrono,Small (2-10),FQHC,580,0,
CLN_00010,2024-09-01,Primary Care,TX,eClinicalWorks,Medium (11-50),Academic Medical Center,3383,1,2025-03-20
CLN_00011,2024-03-26,Psychiatry,AL,Other,Large (51-200),Urgent Care Chain,25308,1,2024-05-05
CLN_00012,2024-04-02,Pediatrics,OR,Epic,Medium (11-50),Hospital System,6838,1,2025-01-03
CLN_00013,2026-04-29,Primary Care,WA,eClinicalWorks,Medium (11-50),Urgent Care Chain,7276,0,
CLN_00014,2024-09-29,Primary Care,MN,Epic,Large (51-200),Telehealth-Native,16105,0,
CLN_00015,2024-08-21,Neurology,FL,None,Small (2-10),Multi-Specialty Group,1361,0,
CLN_00016,2025-04-27,Pediatrics,MN,None,Solo,FQHC,166,0,
CLN_00017,2024-02-02,Psychiatry,WI,Other,Small (2-10),Multi-Specialty Group,2063,0,
CLN_00018,2026-02-19,Oncology,KY,Epic,Small (2-10),Multi-Specialty Group,743,1,2027-02-08
CLN_00019,2025-08-09,Endocrinology,KY,eClinicalWorks,Solo,FQHC,154,0,
CLN_00020,2024-08-01,Primary Care,KY,eClinicalWorks,Solo,Telehealth-Native,279,0,
CLN_00021,2025-04-21,Endocrinology,CT,Athenahealth,Small (2-10),Hospital System,562,0,
CLN_00022,2025-01-05,Neurology,NJ,Practice Fusion,Solo,Urgent Care Chain,300,0,
CLN_00023,2025-01-26,Cardiology,KY,Other,Large (51-200),Telehealth-Native,37078,0,
CLN_00024,2024-07-14,Primary Care,OR,Cerner,Solo,Private Practice,236,0,
CLN_00025,2024-03-01,Gynecology,OH,Athenahealth,Medium (11-50),Hospital System,9254,0,
CLN_00026,2025-03-03,Cardiology,KY,Cerner,Small (2-10),Urgent Care Chain,859,0,
CLN_00027,2024-11-28,Primary Care,CA,Epic,Solo,Hospital System,274,0,
CLN_00028,2026-02-09,Primary Care,OH,Cerner,Medium (11-50),Hospital System,12290,1,2026-07-01
CLN_00029,2025-04-22,Internal Medicine,OR,None,Large (51-200),Telehealth-Native,14369,0,
CLN_00030,2025-04-28,Oncology,NC,DrChrono,Large (51-200),FQHC,15319,1,2025-08-07
CLN_00031,2024-12-12,Endocrinology,IN,Epic,Small (2-10),Academic Medical Center,1171,0,
CLN_00032,2024-06-13,Orthopedics,CA,Epic,Solo,Private Practice,481,0,
CLN_00033,2023-12-26,Pediatrics,MA,Cerner,Solo,Telehealth-Native,304,0,
CLN_00034,2025-07-16,Urology,TN,Epic,Enterprise (200+),Telehealth-Native,34940,0,
CLN_00035,2024-04-28,Cardiology,WI,eClinicalWorks,Large (51-200),FQHC,26480,0,
CLN_00036,2025-06-01,Pediatrics,LA,None,Solo,Multi-Specialty Group,247,0,
CLN_00037,2024-08-10,Endocrinology,IL,Allscripts,Solo,Multi-Specialty Group,172,0,
CLN_00038,2025-10-03,Oncology,OH,Epic,Solo,Private Practice,174,0,
CLN_00039,2025-05-25,Internal Medicine,CT,eClinicalWorks,Small (2-10),Hospital System,1301,0,
CLN_00040,2025-04-13,Pediatrics,LA,Epic,Medium (11-50),Urgent Care Chain,7332,0,
CLN_00041,2025-10-03,Orthopedics,VA,Practice Fusion,Medium (11-50),Private Practice,11078,0,
CLN_00042,2024-12-20,Primary Care,NJ,Epic,Medium (11-50),Hospital System,8985,0,
CLN_00043,2024-05-15,Psychiatry,TX,Athenahealth,Solo,Telehealth-Native,187,0,
CLN_00044,2025-03-09,Psychiatry,FL,Athenahealth,Large (51-200),Private Practice,52586,0,
CLN_00045,2025-07-28,Primary Care,KY,Epic,Small (2-10),Hospital System,920,0,
CLN_00046,2025-10-20,Psychiatry,WA,Epic,Large (51-200),Multi-Specialty Group,16465,1,2026-03-11
CLN_00047,2025-09-04,Primary Care,FL,Cerner,Solo,Multi-Specialty Group,559,0,
CLN_00048,2025-06-21,Psychiatry,MD,eClinicalWorks,Small (2-10),Multi-Specialty Group,1437,0,
CLN_00049,2025-03-27,Neurology,OH,Epic,Solo,Private Practice,298,0,
CLN_00050,2024-01-31,Cardiology,KY,Other,Small (2-10),Hospital System,913,0,
CLN_00051,2025-01-15,Cardiology,AZ,DrChrono,Medium (11-50),FQHC,5549,0,
CLN_00052,2026-02-25,Psychiatry,MI,Epic,Solo,Hospital System,199,0,
CLN_00053,2025-12-28,Psychiatry,TX,Cerner,Medium (11-50),Telehealth-Native,5574,0,
CLN_00054,2026-03-30,Gynecology,FL,Cerner,Large (51-200),Hospital System,32118,0,
CLN_00055,2025-05-19,Neurology,AZ,None,Small (2-10),Private Practice,1529,0,
CLN_00056,2024-03-06,Oncology,KY,Athenahealth,Medium (11-50),Urgent Care Chain,3726,0,
CLN_00057,2025-03-11,Primary Care,WI,Cerner,Small (2-10),Urgent Care Chain,506,0,
CLN_00058,2024-10-27,Orthopedics,CO,None,Small (2-10),Telehealth-Native,874,0,
CLN_00059,2024-06-30,Primary Care,AZ,Epic,Large (51-200),Telehealth-Native,32223,0,
CLN_00060,2024-04-28,Cardiology,WA,Epic,Solo,FQHC,122,0,
CLN_00061,2026-03-03,Urology,OH,DrChrono,Large (51-200),Urgent Care Chain,22008,0,
CLN_00062,2025-03-13,Neurology,MO,DrChrono,Enterprise (200+),Hospital System,64459,0,
CLN_00063,2025-02-12,Pediatrics,UT,eClinicalWorks,Small (2-10),Academic Medical Center,1181,0,
CLN_00064,2025-12-27,Neurology,WA,Epic,Small (2-10),Private Practice,1072,0,
