clinician_id,annual_patient_volume,revenue_band,num_locations,has_billing_system,accepts_insurance,is_group_practice
CLN_00001,776,$20M-$100M,2,1,1,1
CLN_00002,325,<$1M,1,1,1,0
CLN_00003,326,$1M-$5M,1,1,1,0
CLN_00004,3628,$5M-$20M,2,1,1,1
CLN_00005,34199,<$1M,1,0,1,1
CLN_00006,22339,$5M-$20M,1,1,1,1
CLN_00007,1630,$1M-$5M,8,1,0,1
CLN_00008,1934,$100M+,1,0,0,1
CLN_00009,580,$1M-$5M,2,1,1,1
CLN_00010,3383,$1M-$5M,1,1,0,1
CLN_00011,25308,$1M-$5M,4,1,1,1
CLN_00012,6838,$1M-$5M,4,0,1,1
CLN_00013,7276,$1M-$5M,1,1,1,1
CLN_00014,16105,$1M-$5M,1,0,1,1
CLN_00015,1361,$1M-$5M,1,1,1,1
CLN_00016,166,<$1M,1,0,1,0
CLN_00017,2063,$5M-$20M,1,1,0,1
CLN_00018,743,$5M-$20M,3,0,1,1
CLN_00019,154,$1M-$5M,1,1,1,0
CLN_00020,279,<$1M,1,1,1,0
CLN_00021,562,$1M-$5M,1,1,1,1
CLN_00022,300,<$1M,1,1,0,0
CLN_00023,37078,$5M-$20M,1,1,1,1
CLN_00024,236,<$1M,1,1,1,0
CLN_00025,9254,$20M-$100M,5,0,1,1
CLN_00026,859,$1M-$5M,1,1,0,1
CLN_00027,274,<$1M,1,0,1,0
CLN_00028,12290,$20M-$100M,9,1,1,1
CLN_00029,14369,$100M+,1,1,1,1
CLN_00030,15319,$1M-$5M,1,1,0,1
CLN_00031,1171,$20M-$100M,1,1,0,1
CLN_00032,481,$1M-$5M,1,0,0,0
CLN_00033,304,$1M-$5M,1,0,1,0
CLN_00034,34940,$20M-$100M,4,1,1,1
CLN_00035,26480,$5M-$20M,7,1,1,1
CLN_00036,247,$1M-$5M,1,0,1,0
CLN_00037,172,$20M-$100M,1,1,1,0
CLN_00038,174,$5M-$20M,1,1,1,0
CLN_00039,1301,$5M-$20M,1,1,1,1
CLN_00040,7332,$1M-$5M,1,0,1,1
CLN_00041,11078,$1M-$5M,5,0,1,1
CLN_00042,8985,$1M-$5M,1,1,0,1
CLN_00043,187,<$1M,1,0,1,0
CLN_00044,52586,$1M-$5M,9,0,1,1
CLN_00045,920,$1M-$5M,3,1,0,1
CLN_00046,16465,$100M+,1,0,1,1
CLN_00047,559,$5M-$20M,1,1,1,0
CLN_00048,1437,$20M-$100M,2,0,0,1
CLN_00049,298,<$1M,1,1,1,0
CLN_00050,913,$1M-$5M,3,1,1,1
CLN_00051,5549,$5M-$20M,1,1,1,1
CLN_00052,199,$5M-$20M,1,0,1,0
CLN_00053,5574,$20M-$100M,1,1,1,1
CLN_00054,32118,$100M+,3,1,0,1
CLN_00055,1529,$5M-$20M,4,1,1,1
CLN_00056,3726,$1M-$5M,10,1,1,1
CLN_00057,506,$5M-$20M,1,0,1,1
CLN_00058,874,$1M-$5M,1,1,0,1
CLN_00059,32223,$1M-$5M,6,1,1,1
CLN_00060,122,$5M-$20M,1,1,1,0
CLN_00061,22008,$1M-$5M,5,0,1,1
CLN_00062,64459,$20M-$100M,6,1,0,1
CLN_00063,1181,<$1M,2,1,1,1
CLN_00064,1072,$5M-$20M,3,1,0,1
CLN_00065,212,$5M-$20M,1,1,1,0
CLN_00066,1195,$1M-$5M,16,0,0,1
CLN_00067,117,$5M-$20M,1,0,1,0
CLN_00068,5207,$5M-$20M,1,0,1,1
CLN_00069,102621,$1M-$5M,4,1,1,1
CLN_00070,7192,$5M-$20M,2,1,1,1
CLN_00071,21120,<$1M,4,1,1,1
CLN_00072,1443,$1M-$5M,1,1,1,1
CLN_00073,8267,$5M-$20M,9,0,1,1
CLN_00074,529,<$1M,1,1,1,0
CLN_00075,12635,$20M-$100M,1,1,1,1
CLN_00076,223,$20M-$100M,1,1,1,0
CLN_00077,7265,$5M-$20M,3,1,1,1
CLN_00078,121,$1M-$5M,1,1,1,0
CLN_00079,1276,$1M-$5M,7,1,1,1
CLN_00080,159,<$1M,1,1,0,0
CLN_00081,3616,$20M-$100M,2,1,1,1
CLN_00082,9000,<$1M,5,1,1,1
CLN_00083,157,<$1M,1,0,1,0
CLN_00084,776,<$1M,2,0,1,1
CLN_00085,13888,$1M-$5M,2,0,0,1
CLN_00086,1790,$20M-$100M,1,1,1,1
CLN_00087,6019,$5M-$20M,3,1,1,1
CLN_00088,13247,$1M-$5M,7,1,1,1
CLN_00089,7417,$1M-$5M,1,1,1,1
CLN_00090,1858,$1M-$5M,5,1,1,1
CLN_00091,3992,<$1M,1,1,1,1
CLN_00092,1380,$5M-$20M,10,1,1,1
CLN_00093,318,<$1M,1,1,1,0
CLN_00094,2794,<$1M,2,1,0,1
CLN_00095,1300,<$1M,1,0,1,1
CLN_00096,4807,$1M-$5M,1,1,0,1
CLN_00097,517,<$1M,1,1,0,1
CLN_00098,1861,$5M-$20M,1,1,1,1
CLN_00099,344,$5M-$20M,1,1,0,0
CLN_00100,1719,$5M-$20M,3,0,1,1
CLN_00101,3332,$1M-$5M,1,1,0,1
CLN_00102,123855,<$1M,14,1,1,1
CLN_00103,219541,$5M-$20M,1,1,1,1
CLN_00104,129086,$1M-$5M,1,0,1,1
CLN_00105,2792,$5M-$20M,2,1,1,1
CLN_00106,581,$20M-$100M,9,1,1,1
CLN_00107,3874,$20M-$100M,1,0,1,1
CLN_00108,3286,$5M-$20M,7,1,0,1
CLN_00109,171,$5M-$20M,1,0,1,0
CLN_00110,344,$1M-$5M,1,0,1,0
CLN_00111,1649,$5M-$20M,3,1,0,1
CLN_00112,2834,<$1M,1,1,1,1
CLN_00113,2868,$20M-$100M,2,1,1,1
CLN_00114,249,<$1M,1,1,1,0
CLN_00115,87835,<$1M,10,1,1,1
CLN_00116,536,<$1M,3,1,1,1
CLN_00117,4325,$20M-$100M,3,0,1,1
CLN_00118,2022,$20M-$100M,1,0,1,1
CLN_00119,1009,$20M-$100M,1,1,0,1
CLN_00120,311,$1M-$5M,1,1,0,0
CLN_00121,281,<$1M,1,1,1,0
CLN_00122,4850,$5M-$20M,6,1,1,1
CLN_00123,22574,$1M-$5M,1,0,1,1
