clinician_id,snapshot_date,logins_per_week,days_since_last_login,team_members_invited,api_calls_per_week,features_used_count,support_tickets_l90d,video_consults_per_week,async_messages_per_week,days_on_platform
CLN_00001,2026-06-03,4,7,4,0,4,2,1,5,780
CLN_00002,2026-06-03,2,11,1,0,2,0,2,5,525
CLN_00003,2026-06-03,3,2,0,0,2,0,5,1,618
CLN_00004,2026-06-03,13,154,0,0,5,0,13,23,898
CLN_00005,2026-06-03,4,13,1,0,3,0,2,21,765
CLN_00006,2026-06-03,4,2,1,0,2,0,7,27,519
CLN_00007,2026-06-03,11,104,0,179,1,0,2,9,317
CLN_00008,2026-06-03,5,86,0,0,2,1,0,7,504
CLN_00009,2026-06-03,2,13,0,176,4,0,8,72,436
CLN_00010,2026-06-03,6,1,2,0,5,0,1,23,640
CLN_00011,2026-06-03,3,8,3,0,3,0,6,18,799
CLN_00012,2026-06-03,2,1,0,183,5,0,3,12,792
CLN_00013,2026-06-03,5,5,1,0,2,0,7,10,35
CLN_00014,2026-06-03,1,4,0,0,5,0,7,11,612
CLN_00015,2026-06-03,1,9,2,0,3,0,5,3,651
CLN_00016,2026-06-03,1,13,0,0,1,0,8,31,402
CLN_00017,2026-06-03,1,2,0,0,4,1,1,31,852
CLN_00018,2026-06-03,4,9,2,196,1,0,4,68,104
CLN_00019,2026-06-03,1,47,2,0,2,1,8,7,298
CLN_00020,2026-06-03,1,5,0,0,1,0,2,7,671
CLN_00021,2026-06-03,10,14,0,0,1,0,24,19,408
CLN_00022,2026-06-03,2,2,0,0,1,1,0,4,514
CLN_00023,2026-06-03,5,12,1,0,2,0,6,49,493
CLN_00024,2026-06-03,1,8,1,0,1,0,13,17,689
CLN_00025,2026-06-03,2,5,5,0,5,0,7,1,824
CLN_00026,2026-06-03,3,181,2,199,3,0,3,4,457
CLN_00027,2026-06-03,1,6,0,0,2,1,1,5,552
CLN_00028,2026-06-03,5,5,1,0,4,1,28,27,114
CLN_00029,2026-06-03,3,11,0,0,3,1,8,30,407
CLN_00030,2026-06-03,4,10,7,0,6,1,18,155,401
CLN_00031,2026-06-03,2,129,2,0,3,0,5,16,538
CLN_00032,2026-06-03,9,12,1,0,1,0,0,28,720
CLN_00033,2026-06-03,2,6,0,0,1,0,32,3,890
CLN_00034,2026-06-03,2,47,7,0,4,0,10,18,322
CLN_00035,2026-06-03,10,11,0,0,6,1,3,3,766
CLN_00036,2026-06-03,1,3,0,0,1,0,1,4,367
CLN_00037,2026-06-03,2,4,1,0,2,0,2,3,662
CLN_00038,2026-06-03,0,10,1,0,3,1,3,16,243
CLN_00039,2026-06-03,1,12,5,0,1,0,0,9,374
CLN_00040,2026-06-03,4,1,5,0,1,0,10,5,416
CLN_00041,2026-06-03,7,163,1,0,1,0,5,78,243
CLN_00042,2026-06-03,4,0,1,0,4,0,5,117,530
CLN_00043,2026-06-03,2,27,1,168,1,0,2,54,749
CLN_00044,2026-06-03,4,45,3,0,6,0,4,57,451
CLN_00045,2026-06-03,1,146,0,0,1,0,1,16,310
CLN_00046,2026-06-03,3,30,3,0,5,0,2,1,226
CLN_00047,2026-06-03,1,129,0,0,2,0,1,1,272
CLN_00048,2026-06-03,7,4,2,0,2,0,0,12,347
CLN_00049,2026-06-03,3,63,0,0,2,0,13,4,433
CLN_00050,2026-06-03,1,56,6,0,2,0,2,5,854
CLN_00051,2026-06-03,5,1,3,0,3,0,2,15,504
CLN_00052,2026-06-03,1,9,1,0,1,0,1,5,98
CLN_00053,2026-06-03,2,7,1,0,3,0,13,32,157
CLN_00054,2026-06-03,8,128,1,208,1,1,2,42,65
CLN_00055,2026-06-03,7,0,1,0,3,1,3,10,380
CLN_00056,2026-06-03,8,14,1,0,1,0,6,9,819
CLN_00057,2026-06-03,1,3,6,0,1,1,3,8,449
CLN_00058,2026-06-03,2,7,1,0,1,1,1,7,584
CLN_00059,2026-06-03,6,13,6,0,1,1,68,21,703
CLN_00060,2026-06-03,4,5,1,0,1,0,1,7,766
CLN_00061,2026-06-03,3,7,3,0,3,0,3,10,92
CLN_00062,2026-06-03,5,144,7,0,7,1,5,11,447
CLN_00063,2026-06-03,1,14,2,0,2,0,3,7,476
CLN_00064,2026-06-03,1,35,0,0,2,2,2,5,158
CLN_00065,2026-06-03,4,5,0,0,2,0,9,20,755
CLN_00066,2026-06-03,9,13,5,0,4,0,1,11,606
CLN_00067,2026-06-03,2,9,0,0,1,0,1,2,218
CLN_00068,2026-06-03,9,10,1,0,2,0,5,61,633
CLN_00069,2026-06-03,8,5,9,0,5,0,3,46,762
CLN_00070,2026-06-03,2,13,3,0,2,2,17,4,162
CLN_00071,2026-06-03,7,86,1,0,3,1,5,24,180
CLN_00072,2026-06-03,10,8,0,0,1,0,1,5,232
CLN_00073,2026-06-03,4,6,2,0,6,0,4,1,397
CLN_00074,2026-06-03,7,127,1,0,1,0,2,13,788
CLN_00075,2026-06-03,1,1,3,178,1,0,8,37,77
